Date,Open,High,Low,Close,Adj Close,Volume
September,43.35,43.89,41.38,42.69,42.69,"923,800"
August,44.73,49.41,43.45,43.78,43.67,"2,593,100"
July,45.7,47.48,44.31,44.92,44.81,"1,503,800"
June,43.34,46.47,43.02,45.74,45.63,"2,005,700"
May,39.88,44.35,38.1,43.5,43.27,"2,398,200"
April,38.6,40.45,35.51,39.96,39.75,"2,643,900"
March,40.1,40.63,37.05,38.75,38.54,"2,461,400"
Feburary,40.21,42.75,37.67,40.11,39.79,"2,496,400"
January,39.85,42.67,38.17,40.95,40.62,"2,836,100"
December,40.7,42.13,38.87,39.85,39.53,"1,884,300"
November,37.48,40.89,36.17,40.55,40.1,"1,799,000"
October,32.61,38.33,30.15,37.39,36.98,"1,821,200"